equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
5325,EQ ID 5325,General Request,Mfg Engineering,19738,,,,,,,,,,,[]
5325,EQ ID 5325,General Request,Mfg Engineering,11624,05/09/2024,6. General Maint,Jiego  from ME advised for us to purchase and install 3 air regulators in the mezzanine trees .,Closed and Completed,604.5,1.9,Mike Max,0,05/10/2024 12:00 AM,Miguel Diaz - 05/10/24  8:12:55 AM: Purchased and installed 3 air regulators as requested,[]
5325,EQ ID 5325,General Request,Mfg Engineering,14425,01/21/2025,4. Prod Continuing but Affected Equipment stopped,Packaging Tape Slip Dispenser jammed at VLM cell location.,Closed and Completed,0,0.1,MD,0,01/21/2025 12:00 AM,"Miguel Diaz - 01/21/25  1:13:18 PM: Clear jammed tape | Gabriel Shinobi - 01/21/25  1:03:28 PM: Called tech support, Tech will be in tomorrow 1/22/25",[]
5325,EQ ID 5325,General Request,Mfg Engineering,14731,02/18/2025,6. General Maint,ME Jiego requested to attach vision system camera to 3/4 cell,Closed and Completed,0,0.3,g Shinobi,0,02/17/2025 11:00 AM,Gabriel Shinobi - 02/18/25  1:12:03 PM: bolted camera high up on post above insert station.,[]
5325,EQ ID 5325,General Request,Mfg Engineering,15419,04/17/2025,2. General Maint - High Priority,Can we have someone bring the pallet with the APTYX tester up to the mezz? Sabino has information on the pallet location. It was last seen in TPF. Thank you.,Closed and Completed,0,0.3,Primo & Max,0,04/17/2025 02:00 PM,,[]
5325,EQ ID 5325,General Request,Mfg Engineering,16327,07/09/2025,2. General Maint - High Priority,"Hello. Our team needs assistance with drilling into three steel sheets . Screws, nuts, and din rails were left in the maintenance area. Thank you.",Closed and Completed,0,0.5,PU,0,07/09/2025 12:00 AM,Primo Uy - 07/09/25  3:16:03 PM: Done. Steel Plate was already Drill and mount the back rails with the provided screw and nuts.,[]
5325,EQ ID 5325,General Request,Mfg Engineering,16346,07/09/2025,2. General Maint - High Priority,Hi. Our team needs support with drilling into electrical enclosures. There is an X that marks the location. Grommets and enclosures were left in the maintenance area. Thank you!,Closed and Completed,0,0.3,Max,0,07/09/2025 06:00 PM,Maksim Bushka - 07/10/25 11:32:51 AM: Drilled the boxes and installed grommets.,[]
5325,EQ ID 5325,General Request,Mfg Engineering,17109,10/01/2025,1. Prod Stopped,Amy is not gluing the cans properly,Closed and Completed,0,0.2,Cesar,0,10/01/2025 10:00 AM,"Gabriel Shinobi - 10/02/25  6:36:44 AM: holder plate off, reset plate, working properly",[]
137,EQ ID 137,ME Support Request,Mfg Engineering,1254,04/29/2022,"3. Prod Affected, Not Stopped",ME requested we move an Ethernet cable that is not being used and located in the middle of the Rainbow in TPF  and relocate it to the 3/4 machine for future use .,Closed and Completed,0,1.4,Mike Bart,0,04/29/2022 12:00 AM,Miguel Diaz - 04/29/22  9:16:59 AM: Relocated Ethernet cable Need an additional 50 ft cable to reach the machine .,[]
137,EQ ID 137,ME Support Request,Mfg Engineering,2157,08/11/2022,"3. Prod Affected, Not Stopped",Verbal request to help mount a Control box in 4112 Glue Cell.,Closed and Completed,0,0.5,PU,0,08/11/2022 12:00 AM,Primo Uy - 08/11/22 10:48:02 AM: Done. Take measurement and make a bracket to mount the Control Box for the 4112 Glue Machine. Under the table.,[]
137,EQ ID 137,ME Support Request,Mfg Engineering,4263,02/06/2023,6. General Maint,The right arm rest on my desk chair needs to be replaced.,Closed and Completed,0,0.2,PU,0,02/06/2023 12:00 AM,Primo Uy - 02/06/23  1:45:17 PM: Done.,[]
,,,Mfg Engineering,19974,06/26/2026,6. General Maint,"My desk does not have power to it. It seems like others around me have had this problem recently and have had it fixed, however my desk still does not have power.",Pending,0,0,,0,,,[]
